T,RESIDUALS,SIG_RESID
2006.90212,0.29809,2.48941
2006.90485,0.52865,2.51270
2006.90759,1.36328,2.46446
2006.91033,3.34597,2.47777
2006.91307,2.10174,2.45614
2006.91581,4.66260,2.45781
2006.91854,1.57655,2.47444
2006.92128,1.50759,2.47444
2006.92402,1.96075,2.52102
2006.92676,0.17202,2.47278
2006.92950,1.86442,2.48775
2006.93223,2.31595,2.49108
2006.93497,0.63962,2.58257
2006.93771,3.06243,2.51104
2006.94045,2.75641,2.56427
2006.94318,2.72955,2.48775
2006.94592,1.03985,2.52102
2006.94866,0.10334,2.44118
2006.95140,2.37302,2.44617
2006.95414,0.94389,2.53433
2006.95687,0.06196,2.48443
2006.95961,1.30924,2.44783
2006.96235,2.16273,2.41456
2006.96509,2.01145,2.49275
2006.96783,1.95641,2.44617
2006.97056,2.34360,2.43120
2006.97330,0.21003,2.44617
2006.97604,3.46772,2.47944
2006.97878,2.10867,2.49940
2006.98151,3.87489,2.48443
2006.98425,2.87037,2.53101
2006.98699,-1.55486,2.48443
2006.98973,2.40620,2.44617
2006.99247,2.71754,2.48610
2006.99520,2.59419,2.45616
2006.99794,4.22415,2.45782
2007.00342,1.99800,2.45449
2007.00616,3.05491,2.43952
2007.00889,0.83515,2.45782
2007.01163,4.24672,2.45283
2007.01437,2.55564,2.45782
2007.01711,2.75191,2.48277
2007.01984,1.36653,2.52270
2007.02258,2.56251,2.46780
2007.02532,5.13886,2.55264
2007.02806,3.28657,2.55763
2007.03080,3.91966,2.43953
2007.03353,4.17813,2.40958
2007.03627,5.16999,2.41125
2007.03901,3.66524,2.40958
2007.04175,3.52088,2.50773
2007.04449,3.77092,2.42123
2007.04722,7.41736,2.44618
2007.04996,3.86122,2.50607
2007.05270,3.56148,2.48278
2007.05544,4.63716,2.42289
2007.05817,3.31327,2.41125
2007.06091,2.85579,2.40460
2007.06365,2.55275,2.42290
2007.06639,1.69014,2.46448
2007.06913,2.41696,2.41624
2007.07186,2.18022,2.39462
2007.07460,2.51293,2.40294
2007.07734,2.01908,2.39795
2007.08008,1.51867,2.39628
2007.08282,-0.00528,2.39961
2007.08555,0.63023,2.41624
2007.08829,0.33619,2.44286
2007.09103,2.47960,2.44452
2007.09377,1.82848,2.40127
2007.09650,1.76483,2.39961
2007.09924,1.55163,2.40959
2007.10198,2.82191,2.41458
2007.10472,3.21265,2.43455
2007.10746,3.74387,2.43288
2007.11019,2.24656,2.44619
2007.11293,3.01472,2.44286
2007.11567,2.26635,2.39629
2007.11841,3.54746,2.38631
2007.12115,0.82305,2.41292
2007.12388,1.09112,2.41126
2007.12662,1.31866,2.41126
2007.12936,1.58868,2.48611
2007.13210,2.12118,2.41791
2007.13483,1.27216,2.39962
2007.13757,0.80962,2.39962
2007.14031,1.32656,2.40960
2007.14305,-3.10202,2.42124
2007.14579,0.15788,2.44120
2007.14852,1.94725,2.39130
2007.15126,1.74311,2.40461
2007.15400,1.12344,2.39962
2007.15674,-0.03476,2.41625
2007.15948,0.22352,2.39463
2007.16221,1.29528,2.45451
2007.16495,1.66850,2.43954
2007.16769,3.77820,2.41459
2007.17043,2.80637,2.41792
2007.17316,2.69000,2.42624
2007.17590,3.36310,2.41625
2007.17864,1.15866,2.45618
2007.18138,1.85569,2.41293
2007.18412,2.48317,2.44287
2007.18685,3.43811,2.49776
2007.18959,1.87350,2.43289
2007.19233,1.13335,2.43455
2007.19507,-0.44936,2.39630
2007.19780,1.56238,2.40794
2007.20054,1.06456,2.43955
2007.20328,1.84719,2.45452
2007.20602,-0.18876,2.41127
2007.20876,0.87873,2.44287
2007.21149,1.87265,2.40129
2007.21423,1.85399,2.51607
2007.21697,0.83776,2.50109
2007.21971,4.06894,2.44287
2007.22245,-0.12147,2.41626
2007.22518,-1.37446,2.42790
2007.22792,1.14594,2.41460
2007.23066,1.34375,2.44953
2007.23340,-2.36105,2.48779
2007.23613,0.73254,2.48446
2007.23887,1.24952,2.41626
2007.24161,0.64288,2.43123
2007.24435,0.38262,2.45119
2007.24709,-0.27228,2.41959
2007.24982,-0.67781,2.41127
2007.25256,-0.05198,2.43123
2007.25530,0.51521,2.44122
2007.25804,-0.46626,2.47615
2007.26078,-0.46738,2.47116
2007.26351,0.72083,2.45619
2007.26625,-0.58962,2.42458
2007.26899,0.60525,2.46950
2007.27173,0.50244,2.50276
2007.27446,0.32694,2.47282
2007.27720,0.71175,2.44122
2007.27994,-1.09914,2.43955
2007.28268,0.54826,2.50443
2007.28542,0.52595,2.46950
2007.28815,2.61392,2.45952
2007.29089,-0.36484,2.44455
2007.29363,-0.84032,2.43623
2007.29637,1.03545,2.43457
2007.29911,0.49947,2.44288
2007.30184,0.57575,2.46118
2007.30458,0.60326,2.47615
2007.30732,-0.12000,2.48114
2007.31006,0.70597,2.48281
2007.31279,-0.69285,2.49778
2007.31553,2.84155,2.45952
2007.31827,1.43314,2.47948
2007.32101,-1.18307,2.45786
2007.32375,-1.06709,2.45287
2007.32648,0.49307,2.46119
2007.32922,-0.59460,2.45952
2007.33196,1.09390,2.57596
2007.33470,0.75955,2.56764
2007.33744,-0.55765,2.45952
2007.34017,2.09430,2.45786
2007.34291,1.61037,2.47616
2007.34565,2.18257,2.45953
2007.34839,0.66889,2.46618
2007.35112,1.27232,2.47117
2007.35386,0.69185,2.57763
2007.35660,1.97447,2.57929
2007.35934,-0.74483,2.46618
2007.36208,0.87096,2.46951
2007.36481,0.91881,2.54270
2007.36755,1.54772,2.47949
2007.37029,0.69569,2.48781
2007.37303,-0.39530,2.52939
2007.37577,1.16574,2.52939
2007.37850,0.65481,2.48947
2007.38124,0.23790,2.49613
2007.38398,2.24101,2.48781
2007.38672,2.46011,2.49280
2007.38945,-0.04479,2.49945
2007.39219,2.14030,2.52607
2007.39493,-0.77663,2.50944
2007.39767,-0.88260,2.50445
2007.40041,-0.83360,2.54603
2007.40314,0.42135,2.48615
2007.40588,0.54624,2.47783
2007.40862,0.38808,2.51110
2007.41136,-0.30316,2.48948
2007.41410,-0.12248,2.47284
2007.41683,-1.61588,2.47950
2007.41957,-0.20238,2.46952
2007.42231,3.09002,2.56766
2007.42505,-0.78870,2.55768
2007.42778,-0.15053,2.47118
2007.43052,-2.00949,2.48283
2007.43326,-0.37959,2.47950
2007.43600,1.54617,2.52774
2007.43874,1.49578,2.50279
2007.44147,-1.24177,2.48449
2007.44421,-0.71549,2.53107
2007.44695,2.70962,2.48782
2007.44969,3.93555,2.46287
2007.45243,4.12228,2.49448
2007.45516,-0.15418,2.45954
2007.45790,1.82816,2.46121
2007.46064,2.81228,2.47618
2007.46338,1.01319,2.46953
2007.46611,2.06287,2.46287
2007.46885,2.19331,2.45123
2007.47159,-0.54949,2.47452
2007.47433,-0.82254,2.47785
2007.47707,1.38716,2.50280
2007.47980,0.12060,2.48616
2007.48254,0.79077,2.46288
2007.48528,0.83066,2.46121
2007.48802,0.69827,2.49282
2007.49076,2.60459,2.48617
2007.49349,1.89561,2.48450
2007.49623,2.45234,2.47452
2007.49897,1.40975,2.46787
2007.50171,0.94885,2.48118
2007.50444,0.79063,2.46953
2007.50718,0.02808,2.50447
2007.50992,0.56520,2.48118
2007.51266,-0.20602,2.48451
2007.51540,0.63441,2.46787
2007.51813,0.72250,2.48451
2007.52087,0.38322,2.49615
2007.52361,1.52959,2.48950
2007.52635,1.62559,2.49449
2007.52908,3.28822,2.47287
2007.53182,0.26547,2.49283
2007.53456,1.24334,2.48950
2007.53730,1.80182,2.48617
2007.54004,-0.13209,2.50114
2007.54277,1.85561,2.49117
2007.54551,0.95190,2.48119
2007.54825,2.15679,2.48119
2007.55099,0.33826,2.49117
2007.55373,1.55733,2.48950
2007.55646,1.29497,2.50281
2007.55920,-0.54281,2.48618
2007.56194,0.38299,2.48784
2007.56468,2.21836,2.49616
2007.56741,0.38929,2.50281
2007.57015,0.25679,2.48452
2007.57289,-2.77216,2.49117
2007.57563,-0.13654,2.48784
2007.57837,-0.01038,2.47786
2007.58110,1.28434,2.48784
2007.58384,1.35561,2.47454
2007.58658,0.57842,2.47288
2007.58932,0.88577,2.47953
2007.59206,0.60666,2.47787
2007.59479,-1.02591,2.50115
2007.59753,1.05406,2.49284
2007.60027,1.35356,2.47454
2007.60301,-0.17540,2.46789
2007.60574,0.29416,2.46290
2007.60848,0.63225,2.46622
2007.61122,2.06887,2.46290
2007.61396,1.99002,2.47621
2007.61670,2.19069,2.62258
2007.61943,1.69288,2.61260
2007.62217,0.24460,2.56603
2007.62491,0.41084,2.56104
2007.62765,1.28860,2.59763
2007.63039,3.02488,2.60429
2007.63312,1.05168,2.55605
2007.63586,-0.11499,2.55106
2007.63860,1.52285,2.56603
2007.64134,0.01622,2.53276
2007.64407,0.97610,2.64753
2007.64681,1.18751,2.56271
2007.64955,0.82444,2.58766
2007.65229,1.45489,2.59265
2007.65503,0.81787,2.56271
2007.65776,1.86137,2.56770
2007.66050,1.89439,2.57934
2007.66324,0.64395,2.56271
2007.66598,-0.35797,2.56104
2007.66872,0.80864,2.56104
2007.67145,1.88378,2.56271
2007.67419,2.54446,2.64587
2007.67693,3.02867,2.57269
2007.67967,-0.06758,2.55439
2007.68240,1.87170,2.55606
2007.68514,1.50353,2.59431
2007.68788,1.42191,2.59764
2007.69062,1.23383,2.57934
2007.69336,1.87930,2.58600
2007.69609,0.64232,2.57103
2007.69883,0.03290,2.58766
2007.70157,0.91103,2.59598
2007.70431,0.70773,2.67415
2007.70705,2.06800,2.59598
2007.70978,0.56883,2.64920
2007.71252,-1.33176,2.51947
2007.71526,0.52122,2.53111
2007.71800,1.20578,2.55772
2007.72073,2.62293,2.49618
2007.72347,0.26867,2.47955
2007.72621,0.59000,2.50117
2007.72895,0.88492,2.52279
2007.73169,1.57445,2.58434
2007.73442,1.63959,2.50949
2007.73716,0.38033,2.53444
2007.73990,0.64969,2.52113
2007.74264,-1.09932,2.48953
2007.74538,0.92129,2.49452
2007.74811,-1.64347,2.59432
2007.75085,-1.02859,2.59931
2007.75359,-0.89707,2.55274
2007.75633,-0.54691,2.51614
2007.75906,-0.53908,2.49119
2007.76180,3.56940,2.51448
2007.76454,0.96254,2.48953
2007.76728,1.23136,2.67915
2007.77002,0.71285,2.65919
2007.77275,1.16503,2.68248
2007.77549,0.00990,2.51781
2007.77823,-0.41154,2.50284
2007.78097,-0.84128,2.48288
2007.78371,0.58969,2.49951
2007.78644,-0.15362,2.53943
2007.78918,-0.09621,2.53278
2007.79192,0.19493,2.53943
2007.79466,-0.23520,2.55274
2007.79739,-0.87858,2.61927
2007.80013,0.05678,2.51448
2007.80287,-1.46009,2.50118
2007.80561,1.43279,2.51448
2007.80835,-0.42755,2.53444
2007.81108,0.27088,2.52114
2007.81382,-2.91890,2.52114
2007.81656,-1.11988,2.57935
2007.81930,-0.24407,2.50617
2007.82203,-0.46745,2.50617
2007.82477,-0.59001,2.52114
2007.82751,-0.23175,2.48954
2007.83025,-0.34966,2.49952
2007.83299,-0.85974,2.47623
2007.83572,-1.67496,2.47290
2007.83846,-0.55133,2.46791
2007.84120,-1.18284,2.45461
2007.84394,-1.23048,2.46126
2007.84668,-0.41824,2.46459
2007.84941,-0.95212,2.46625
2007.85215,-1.04310,2.49952
2007.85489,-0.54818,2.50950
2007.85763,-0.34135,2.52114
2007.86036,0.09140,2.49785
2007.86310,-0.30593,2.53944
2007.86584,0.46268,2.48455
2007.86858,-0.12777,2.47956
2007.87132,0.76573,2.59932
2007.87405,1.03819,2.48455
2007.87679,0.85162,2.48289
2007.87953,2.10803,2.48289
2007.88227,0.58341,2.53778
2007.88501,2.49979,2.48954
2007.88774,1.04017,2.50784
2007.89048,1.83956,2.47291
2007.89322,1.69696,2.50451
2007.89596,1.60639,2.48289
2007.89869,0.80985,2.50285
2007.90143,2.10436,2.51449
2007.90417,1.27391,2.54277
2007.90691,4.17052,2.50618
2007.90965,1.59620,2.51449
2007.91238,1.49795,2.49453
2007.91512,1.14878,2.51283
2007.91786,2.17071,2.51782
2007.92060,1.53773,2.57271
2007.92334,1.56986,2.53778
2007.92607,2.21410,2.48289
2007.92881,0.73846,2.48622
2007.93155,-1.37204,2.49121
2007.93429,-0.01741,2.52115
2007.93702,1.74337,2.50618
2007.93976,3.46231,2.54444
2007.94250,2.48140,2.48289
2007.94524,2.42867,2.55774
2007.94798,2.10711,2.55774
2007.95071,1.24274,2.56772
2007.95345,2.54956,2.56772
2007.95619,2.07958,2.56107
2007.95893,1.22980,2.54776
2007.96167,2.39424,2.53612
2007.96440,-0.54709,2.53612
2007.96714,0.73980,2.57604
2007.96988,0.69893,2.54943
2007.97262,0.88231,2.55442
2007.97535,1.70293,2.52448
2007.97809,1.69581,2.55442
2007.98083,1.57496,2.55608
2007.98357,0.64238,2.53779
2007.98631,2.36608,2.60099
2007.98904,1.28406,2.59434
2007.99178,1.62734,2.57937
2007.99452,1.34691,2.57937
2007.99726,3.10378,2.52282
2008.00000,2.04097,2.54444
2008.00273,2.01648,2.52781
2008.00547,0.96130,2.51783
2008.00821,2.17246,2.66420
2008.01095,0.38295,2.50951
2008.01368,2.39179,2.49122
2008.01642,0.12197,2.48124
2008.01916,0.02350,2.55442
2008.02190,1.18439,2.53779
2008.02464,2.17064,2.49787
2008.02737,1.17627,2.47791
2008.03011,2.11326,2.51284
2008.03285,2.01164,2.46627
2008.03559,1.88140,2.47459
2008.03833,3.23654,2.51118
2008.04106,0.44509,2.53114
2008.04380,4.14803,2.52948
2008.04654,1.65037,2.48789
2008.04928,2.68412,2.47292
2008.05201,1.29128,2.47958
2008.05475,1.13786,2.45796
2008.05749,0.76086,2.45796
2008.06023,1.90828,2.45463
2008.06297,1.31313,2.45796
2008.06570,1.43740,2.45962
2008.06844,2.05012,2.47293
2008.07118,0.77127,2.46794
2008.07392,-0.49914,2.46794
2008.07666,-0.03010,2.56441
2008.07939,-0.93261,2.56275
2008.08213,-0.33668,2.49289
2008.08487,-0.88029,2.45796
2008.08761,-0.22044,2.46461
2008.09034,0.44086,2.47626
2008.09308,-0.36637,2.47792
2008.09582,0.10085,2.49788
2008.09856,-0.67446,2.50620
2008.10130,-0.10930,2.51618
2008.10403,-0.17467,2.48790
2008.10677,0.80543,2.46295
2008.10951,-0.56801,2.45963
2008.11225,-1.55396,2.48125
2008.11498,-1.14445,2.46628
2008.11772,0.11955,2.48790
2008.12046,-0.34499,2.46295
2008.12320,0.65496,2.50121
2008.12594,-1.46061,2.45464
2008.12867,-1.06071,2.45963
2008.13141,-0.62533,2.46628
2008.13415,0.25953,2.50953
2008.13689,0.07587,2.46961
2008.13963,-0.40931,2.46628
2008.14236,-0.72901,2.46462
2008.14510,-0.54823,2.48292
2008.14784,1.11702,2.48292
2008.15058,-0.68725,2.48292
2008.15331,-0.02003,2.46628
2008.15605,-1.20635,2.45630
2008.15879,0.66481,2.45630
2008.16153,-1.12255,2.48624
2008.16427,-1.18444,2.49290
2008.16700,0.91914,2.46961
2008.16974,-0.45681,2.45963
2008.17248,2.05370,2.44799
2008.17522,-0.19931,2.47460
2008.17796,-0.13187,2.48791
2008.18069,-0.57696,2.48791
2008.18343,-1.59459,2.46629
2008.18617,-0.71176,2.44633
2008.18891,-0.23348,2.46795
2008.19164,-0.10275,2.46629
2008.19438,-1.14157,2.46130
2008.19712,-1.56494,2.50288
2008.19986,-0.97187,2.47461
2008.20260,-1.96635,2.44966
2008.20533,-1.03741,2.46795
2008.20807,3.84998,2.54779
2008.21081,-0.84321,2.54280
2008.21355,-1.56998,2.51952
2008.21629,0.34368,2.51286
2008.21902,-0.60324,2.51453
2008.22176,0.16325,2.50621
2008.22450,-0.01585,2.52617
2008.22724,0.58546,2.52451
2008.22997,-0.56883,2.51786
2008.23271,-1.02273,2.52285
2008.23545,-0.53723,2.52617
2008.23819,0.10965,2.51453
2008.24093,0.59591,2.50954
2008.24366,-0.74845,2.50289
2008.24640,-0.64443,2.48626
2008.24914,-0.29705,2.50123
2008.25188,-0.45231,2.56110
2008.25462,-0.33622,2.49291
2008.25735,-0.35277,2.48626
2008.26009,-2.13598,2.48626
2008.26283,-0.56085,2.49624
2008.26557,-1.65539,2.49956
2008.26830,-1.79260,2.50123
2008.27104,-2.09049,2.50954
2008.27378,3.41694,2.49790
2008.27652,-0.02833,2.49624
2008.27926,-0.04629,2.49458
2008.28199,-0.14296,2.49624
2008.28473,-0.46834,2.56610
2008.28747,-1.41044,2.52618
2008.29021,1.71873,2.52951
2008.29295,-0.72882,2.49458
2008.29568,-0.63011,2.50622
2008.29842,-0.37315,2.51288
2008.30116,-2.28994,2.50789
2008.30390,-0.63449,2.50123
2008.30663,-0.42280,2.52119
2008.30937,-0.24089,2.55446
2008.31211,-1.07076,2.52951
2008.31485,0.12458,2.51787
2008.31759,-1.11287,2.62931
2008.32032,-0.89413,2.61600
2008.32306,-1.73419,2.62432
2008.32580,-1.38208,2.69584
2008.32854,-1.82779,2.53949
2008.33128,1.67567,2.55114
2008.33401,-0.50672,2.55446
2008.33675,-3.08995,2.53284
2008.33949,-1.66705,2.54615
2008.34223,-1.04500,2.54449
2008.34496,-1.90783,2.57110
2008.34770,-0.80754,2.57110
2008.35044,-2.99014,2.53617
2008.35318,-0.69064,2.54948
2008.35592,-1.56404,2.54948
2008.35865,-3.58435,2.52785
2008.36139,2.81341,2.55779
2008.36413,-1.35675,2.61435
2008.36687,4.13914,2.54116
2008.36961,0.16410,2.54116
2008.37234,-1.53990,2.53285
2008.37508,-1.47487,2.54449
2008.37782,-1.82780,2.53118
2008.38056,-1.80471,2.52121
2008.38329,-1.55161,2.60770
2008.38603,-4.37151,2.52453
2008.38877,-8.08341,2.54948
2008.39151,-5.13931,2.57111
2008.39425,-0.67424,2.54283
2008.39698,-0.03120,2.53451
2008.39972,-0.76419,2.53285
2008.40246,-0.51123,2.51622
2008.40520,-0.20432,2.52454
2008.40794,0.01853,2.54782
2008.41067,0.39131,2.53618
2008.41341,-0.64198,2.53452
2008.41615,-0.68237,2.51789
2008.41889,-1.14284,2.52288
2008.42162,-0.81042,2.58941
2008.42436,-2.34110,2.54284
2008.42710,-0.68791,2.54450
2008.42984,0.43916,2.56280
2008.43258,4.81410,2.59606
2008.43531,0.28490,2.58608
2008.43805,5.56155,2.61602
2008.44079,2.69604,2.55116
2008.44353,2.61836,2.53619
2008.44626,1.83152,2.56613
2008.44900,0.30649,2.54617
2008.45174,-0.26773,2.61769
2008.45448,0.79786,2.61270
2008.45722,-0.88175,2.53286
2008.45995,-1.18657,2.53952
2008.46269,-0.09761,2.53785
2008.46543,0.65612,2.54783
2008.46817,0.68263,2.53785
2008.47091,1.05989,2.54118
2008.47364,0.40291,2.52122
2008.47638,1.89467,2.53786
2008.47912,2.00317,2.55449
2008.48186,-0.45359,2.53952
2008.48459,-0.51463,2.55615
2008.48733,0.26605,2.52122
2008.49007,1.98844,2.53453
2008.49281,0.83354,2.55948
2008.49555,1.49634,2.54451
2008.49828,0.91683,2.53786
2008.50102,0.46601,2.53453
2008.50376,-0.06213,2.53786
2008.50650,0.58840,2.59940
2008.50924,1.44760,2.55616
2008.51197,-2.59753,2.55449
2008.51471,-0.36501,2.55782
2008.51745,0.88216,2.54119
2008.52019,0.26298,2.54618
2008.52292,0.66744,2.62934
2008.52566,1.71753,2.61437
2008.52840,1.06125,2.54452
2008.53114,1.56160,2.56281
2008.53388,-1.02243,2.55616
2008.53661,1.82715,2.54785
2008.53935,0.24833,2.53454
2008.54209,-2.24687,2.51624
2008.54483,-1.19848,2.64931
2008.54757,0.10351,2.64265
2008.55030,0.45709,2.53620
2008.55304,1.51526,2.53454
2008.55578,-2.51799,2.54452
2008.55852,0.23633,2.59109
2008.56125,-0.61976,2.53288
2008.56399,0.44971,2.53953
2008.56673,0.26475,2.54452
2008.56947,0.32736,2.52955
2008.57221,0.91453,2.59775
2008.57494,-0.05675,2.61604
2008.57768,-0.50647,2.64266
2008.58042,-0.04564,2.53954
2008.58316,-0.92426,2.53288
2008.58590,-0.72934,2.54120
2008.58863,-0.72687,2.57280
2008.59137,0.14314,2.53122
2008.59411,0.94169,2.52290
2008.59685,0.82277,2.59276
2008.59958,1.03139,2.68923
2008.60232,0.44654,2.68091
2008.60506,-0.74278,2.58777
2008.60780,-1.20457,2.58278
2008.61054,-0.47483,2.58611
2008.61327,-1.74457,2.59775
2008.61601,0.39322,2.59443
2008.61875,-0.38847,2.58777
2008.62149,0.65937,2.58611
2008.62423,0.89173,2.60274
2008.62696,3.30261,2.59277
2008.62970,0.82501,2.61771
2008.63244,0.95493,2.58944
2008.63518,0.50238,2.59942
2008.63791,-0.65166,2.59942
2008.64065,-2.21117,2.57447
2008.64339,1.95483,2.60108
2008.64613,0.05136,2.60108
2008.64887,1.60541,2.77905
2008.65160,1.44698,2.61439
2008.65434,-1.96093,2.66595
2008.65708,0.17069,2.70088
2008.65982,-0.50416,2.63102
2008.66256,-2.32249,2.62437
2008.66529,0.62271,2.63435
2008.66803,-1.47456,2.62936
2008.67077,-2.46830,2.64100
2008.67351,1.68149,2.64100
2008.67624,0.28781,2.74578
2008.67898,1.33368,2.62271
2008.68172,1.38008,2.62271
2008.68446,1.35802,2.61772
2008.68720,1.42651,2.59776
2008.68993,-0.43346,2.68591
2008.69267,0.84113,2.61273
2008.69541,0.13026,2.62603
2008.69815,0.89695,2.60441
2008.70089,0.30120,2.58944
2008.70362,-0.40500,2.58778
2008.70636,0.65138,2.59610
