T,RESIDUALS,SIG_RESID
2000.53388,-2.59457,1.72129
2000.53662,-3.93083,1.75142
2000.53936,-2.52842,1.71212
2000.54209,-0.91534,1.70426
2000.54483,-2.60061,1.71343
2000.54757,-1.71423,1.77107
2000.55031,-2.56220,1.68592
2000.55305,-2.89651,1.69378
2000.55578,-2.45519,1.70950
2000.55852,-1.84723,1.69509
2000.56126,-2.32063,1.67675
2000.56400,-1.04640,1.71343
2000.56674,-1.80554,1.72915
2000.56947,-2.02705,1.70819
2000.57221,-0.44894,1.80119
2000.57495,-0.09321,1.74094
2000.57769,-3.52286,1.68068
2000.58042,-1.34290,1.69771
2000.58316,-1.65332,1.78809
2000.58590,-1.34614,1.75142
2000.58864,-2.20634,1.73177
2000.59138,-0.84794,1.75404
2000.59411,-1.13494,1.75666
2000.59685,-0.55234,1.74749
2000.59959,-2.37313,1.74225
2000.60233,-3.06933,1.73308
2000.60507,-1.79094,1.91384
2000.60780,0.59006,1.87716
2000.61054,-0.16536,1.79202
2000.61328,-0.92918,1.76320
2000.61602,-0.56341,1.72653
2000.61875,-1.39905,1.74618
2000.62149,-2.16110,1.74749
2000.62423,-1.49257,2.67871
2000.62697,-0.81544,1.74487
2000.62971,-1.38773,1.72784
2000.63244,-0.54943,1.66103
2000.63518,-1.61955,1.70950
2000.63792,-4.11508,1.68985
2000.64066,-3.94802,1.72391
2000.64339,-3.35837,1.67413
2000.64613,-1.75614,1.81560
2000.64887,-3.60432,1.76582
2000.65161,-2.32492,1.73438
2000.65435,-1.64992,1.75141
2000.65708,-2.42634,1.76189
2000.65982,-1.44717,1.73045
2000.66256,-3.06041,1.75534
2000.66530,-3.08605,1.69771
2000.66804,-1.94011,1.77499
2000.67077,-2.66956,1.75796
2000.67351,-1.61543,1.75010
2000.67625,-1.75269,1.71211
2000.67899,-2.91336,1.71604
2000.68172,-2.25243,1.79726
2000.68446,-1.66589,1.81429
2000.68720,-1.45975,1.84179
2000.68994,-2.34200,1.82869
2000.69268,-1.16065,1.82738
2000.69541,-1.87068,1.78940
2000.69815,0.34090,1.78940
2000.70089,-1.83390,1.76320
2000.70363,-1.35808,1.79595
2000.70637,-0.55764,1.79988
2000.70910,-1.62858,1.72259
2000.71184,-2.06489,1.76713
2000.71458,-1.73357,1.75141
2000.71732,-1.03561,1.77237
2000.72005,-1.98402,1.77106
2000.72279,-0.13378,1.75534
2000.72553,-1.81190,1.75010
2000.72827,-0.64837,1.74486
2000.73101,0.55781,1.73569
2000.73374,-0.23435,1.74355
2000.73648,0.07915,1.71997
2000.73922,-1.88269,1.77892
2000.74196,0.89214,1.77630
2000.74470,1.85064,1.75272
2000.74743,-1.00717,1.75403
2000.75017,-1.59131,1.82476
2000.75291,-1.25676,1.79070
2000.75565,-0.71852,1.77499
2000.75838,-0.37359,1.72259
2000.76112,-1.76395,1.77237
2000.76386,-0.43761,1.68722
2000.76660,-0.93556,1.68853
2000.76934,-1.75379,1.70163
2000.77207,-1.62430,1.72128
2000.77481,-1.24508,1.71735
2000.77755,-3.68214,1.72390
2000.78029,0.17055,1.75403
2000.78303,-0.73302,1.78153
2000.78576,-1.64985,1.69115
