T,RESIDUALS,SIG_RESID
2001.00753,5.71518,2.55634
2001.01027,3.18118,2.57028
2001.01300,5.29255,2.56873
2001.01574,4.31130,2.45097
2001.01848,4.24242,2.46027
2001.02122,6.01893,2.49126
2001.02396,5.19681,2.43858
2001.02669,2.06109,2.45562
2001.02943,2.10376,2.38589
2001.03217,1.38781,2.45717
2001.03491,3.26326,2.49591
2001.03765,3.65711,2.42153
2001.04038,5.61435,2.41379
2001.04312,3.69700,2.38900
2001.04586,6.03004,2.48042
2001.04860,3.71349,2.41379
2001.05133,2.98935,2.54085
2001.05407,4.78061,2.44013
2001.05681,2.79228,2.44943
2001.05955,3.09335,2.49901
2001.06229,3.19584,2.65861
2001.06502,3.23074,2.54395
2001.06776,5.16906,2.52226
2001.07050,3.48878,2.54395
2001.07324,3.48892,2.50521
2001.07598,2.07147,2.49592
2001.07871,1.91944,2.45408
2001.08145,3.58282,2.40915
2001.08419,5.86162,2.48042
2001.08693,0.50783,2.52226
2001.08966,3.46646,2.46338
2001.09240,3.37450,2.49127
2001.09514,0.86795,2.60438
2001.09788,2.48782,2.53621
2001.10062,4.07111,2.51142
2001.10335,2.70080,2.53466
2001.10609,2.45891,2.55635
2001.10883,0.42642,2.62763
2001.11157,2.39335,2.53156
2001.11431,1.19469,2.67256
2001.11704,0.63743,2.60749
2001.11978,1.69557,2.50522
2001.12252,3.06413,2.50522
2001.12526,1.17908,2.56565
2001.12799,-0.26257,2.52847
2001.13073,2.40119,2.47579
2001.13347,3.33834,2.52382
2001.13621,0.08988,2.46649
2001.13895,3.36082,2.72215
2001.14168,5.95314,2.54706
2001.14442,2.64485,2.48044
2001.14716,5.83895,2.49283
2001.14990,4.21543,2.59975
2001.15264,5.62829,2.61834
2001.15537,5.35752,2.55327
2001.15811,4.20413,2.49284
2001.16085,2.24111,2.59510
2001.16359,0.58645,2.63384
2001.16632,0.07116,2.74385
2001.16906,0.66522,2.67103
2001.17180,4.21564,2.47270
2001.17454,2.73042,2.70047
2001.17728,3.48554,2.54397
2001.18001,4.19801,2.44016
2001.18275,-3.10519,2.40297
2001.18549,-0.49504,2.52693
2001.18823,3.02243,2.52848
2001.19097,4.11224,2.58426
2001.19370,2.92737,2.55947
2001.19644,3.51681,2.51919
2001.19918,0.43857,2.44946
2001.20192,4.33064,2.35339
2001.20465,3.50702,2.56103
2001.20739,4.36069,2.55173
2001.21013,5.76266,2.44792
2001.21287,6.63592,2.47271
2001.21561,5.21746,2.37974
2001.21834,6.16128,2.43552
2001.22108,3.00438,2.48666
2001.22382,3.85875,2.49440
2001.22656,4.68038,2.41073
2001.22930,4.28526,2.53934
2001.23203,2.85940,2.57963
2001.23477,4.62378,2.55329
2001.23751,2.00741,2.58118
2001.24024,5.13628,2.55484
2001.24572,5.41167,2.74851
2001.24846,4.53920,2.50836
2001.25120,3.35294,2.47737
2001.25394,2.56088,2.75161
2001.25667,5.34202,2.51611
2001.25941,3.26036,2.55639
2001.26215,2.72987,2.78880
2001.26489,2.87357,2.57809
2001.26762,1.87844,2.65866
2001.27036,2.33848,2.65866
2001.27310,2.84068,2.52851
2001.27584,4.10202,2.68500
2001.27858,4.89652,2.54555
2001.28131,3.00516,2.71134
2001.28405,1.68592,2.78416
2001.28679,5.31782,2.78571
2001.28953,2.18983,2.98092
2001.29227,4.98296,2.70359
2001.29500,4.78519,2.62922
2001.29774,5.49052,2.48823
2001.30048,3.78694,2.64472
2001.30322,4.07344,2.63388
2001.30595,7.34403,2.79036
2001.30869,4.19168,2.64317
2001.31143,0.08340,2.68965
2001.31417,3.71618,2.82135
2001.31691,2.55300,2.57190
2001.31964,6.08387,2.74079
2001.32238,3.12177,2.66952
2001.32512,0.49070,2.58275
2001.32786,4.54165,2.72220
2001.33060,2.59861,2.66022
2001.33333,3.18358,2.47429
2001.33607,0.23556,2.48824
2001.33881,0.95952,2.63233
2001.34155,3.42747,2.56726
2001.34428,1.95439,2.50683
2001.34702,3.88629,2.67107
2001.34976,7.06316,2.68966
2001.35250,2.68897,2.46035
2001.35524,1.40074,2.47740
2001.35797,2.87845,2.50219
2001.36071,1.92310,2.73150
2001.36345,4.19668,2.60910
2001.36619,2.29618,2.52388
2001.37167,1.66091,2.61995
2001.37441,1.93813,2.67108
2001.37714,-0.46776,2.53318
2001.38262,-0.09288,2.49290
2001.38536,0.89888,2.53163
2001.38810,3.27150,2.59361
2001.39083,1.82398,2.49755
2001.39357,1.84531,2.48205
2001.39631,2.11549,2.47896
2001.39905,-0.40449,2.49600
2001.40452,2.90004,2.59516
2001.40726,1.27254,2.59052
2001.41274,3.09297,2.55178
2001.41515,2.10115,3.01813
2001.41821,2.50061,2.66179
2001.42094,-2.17888,2.52854
2001.42642,0.86247,2.56573
2001.42916,0.29031,2.44952
2001.43190,3.56291,2.57038
2001.43463,2.84727,2.53474
2001.43737,1.17938,2.52699
2001.44011,3.29724,2.48361
2001.44285,2.65384,2.51305
2001.44559,-0.66182,2.46192
2001.44832,3.49425,2.50530
2001.45106,4.95504,2.46192
2001.45380,2.71355,2.57658
2001.45654,5.62478,2.55644
2001.45927,4.87672,2.56573
2001.46201,4.24836,2.53629
2001.46475,4.91271,2.67264
2001.46749,-0.42426,2.73152
2001.47023,-1.85353,2.69278
2001.47296,0.52888,2.56419
2001.47570,1.71997,2.61532
2001.47844,6.51374,2.67574
2001.48118,2.02319,2.53630
2001.48392,2.08329,2.62771
2001.48665,3.30807,2.61842
2001.48939,0.75850,2.57503
2001.49213,4.64658,2.51461
2001.49487,2.28732,2.51306
2001.49760,2.99370,2.71138
2001.50034,3.25373,2.58588
2001.50308,4.99740,2.66800
2001.50582,2.51170,2.55954
2001.50856,-0.58736,2.61377
2001.51129,1.77321,2.62306
2001.51403,1.21640,2.62307
2001.51677,2.99922,2.58278
2001.51951,2.14066,2.70983
2001.52225,2.77472,2.92364
2001.52498,-0.45661,2.70673
2001.52772,-1.04833,2.59828
2001.53046,-0.66443,2.71913
2001.53320,-0.38993,2.70983
2001.53593,2.35118,2.56419
2001.53867,2.12189,2.64941
2001.54141,0.73120,2.57039
2001.54415,3.23811,2.55489
2001.54689,2.00562,2.58743
2001.54962,4.05572,2.69744
2001.55236,3.07142,2.47897
2001.55510,0.53372,2.61532
2001.55784,2.14360,2.67265
2001.56057,4.05007,2.49447
