T,RESIDUALS,SIG_RESID
2009.19096,1.98569,1.69612
2009.19370,0.28957,1.70645
2009.19644,0.30585,1.69170
2009.19917,0.12254,1.70498
2009.20191,-0.97738,1.70645
2009.20465,-1.38490,1.71825
2009.20739,0.19296,1.68727
2009.21013,-1.10378,1.69317
2009.21286,1.14685,1.68285
2009.21560,0.13986,1.69318
2009.21834,-0.40575,1.67990
2009.22108,0.58800,1.69318
2009.22381,0.62111,1.70055
2009.22655,1.75158,1.69170
2009.22929,1.75040,1.69465
2009.23203,-0.17843,1.67842
2009.23477,0.49108,1.68875
2009.23750,0.10193,1.70203
2009.24024,0.00511,1.73153
2009.24298,0.56261,1.70941
2009.24572,0.63844,1.70350
2009.24846,1.08657,1.68580
2009.25119,-1.53498,1.76546
2009.25393,-1.30723,1.75071
2009.25667,-1.63419,1.70793
2009.25941,-1.36685,1.70056
2009.26214,-0.51524,1.69023
2009.26488,1.03366,1.68875
2009.26762,1.20882,1.69318
2009.27036,0.38026,1.71678
2009.27310,-0.04206,1.69908
2009.27583,0.13488,1.69170
2009.27857,1.91807,1.69908
2009.28131,1.69849,1.70941
2009.28405,1.81115,1.70351
2009.28679,0.56502,1.70351
2009.28952,0.64512,1.71383
2009.29226,2.12043,1.71531
2009.29500,1.42794,1.69908
2009.29774,2.24364,1.69023
2009.30047,2.06853,1.70941
2009.30321,0.57361,1.70941
2009.30595,0.83186,1.71088
2009.30869,0.60527,1.69023
2009.31143,0.94185,1.68728
2009.31416,2.10658,1.70203
2009.31690,1.94945,1.69613
2009.31964,1.67446,1.70351
2009.32238,1.97459,1.69171
2009.32512,2.45285,1.72711
2009.32785,1.69623,1.73154
2009.33059,0.72971,1.70941
2009.33333,0.82428,1.72121
2009.33607,1.71495,1.70793
2009.33880,1.72470,1.69023
2009.34154,-0.05247,1.70351
2009.34428,0.72442,1.72859
2009.34702,0.33937,1.71384
2009.34976,2.36738,1.68581
2009.35249,3.37643,1.68728
2009.35523,1.87251,1.69466
2009.35797,2.65762,1.69761
2009.36071,1.43475,1.75367
2009.36344,3.36089,1.70351
2009.36618,3.63404,1.71826
2009.36892,3.64718,1.68286
2009.37166,3.07331,1.69023
