Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.,Time
1987,7,-0.01,-0.005,0.013,-0.024,1987.583333
1987,8,-0.036,-0.005,0.013,-0.024,1987.666667
1987,9,-0.013,-0.005,0.013,-0.024,1987.75
1987,10,0.007,-0.005,0.013,-0.024,1987.833333
1987,11,-0.007,-0.005,0.013,-0.024,1987.916667
1987,12,-0.006,-0.005,0.013,-0.023,1988
1988,1,-0.069,-0.005,0.013,-0.023,1988.083333
1988,2,-0.175,-0.005,0.013,-0.023,1988.166667
1988,3,-0.179,-0.005,0.013,-0.023,1988.25
1988,4,-0.047,-0.005,0.013,-0.023,1988.333333
1988,5,0.012,-0.005,0.012,-0.023,1988.416667
1988,6,-0.03,-0.005,0.012,-0.023,1988.5
1988,7,-0.068,-0.005,0.012,-0.023,1988.583333
1988,8,-0.057,-0.005,0.012,-0.023,1988.666667
1988,9,-0.114,-0.005,0.012,-0.023,1988.75
1988,10,-0.054,-0.005,0.012,-0.023,1988.833333
1988,11,-0.013,-0.006,0.012,-0.023,1988.916667
1988,12,-0.189,-0.006,0.012,-0.023,1989
1989,1,-0.245,-0.006,0.012,-0.023,1989.083333
1989,2,-0.187,-0.006,0.012,-0.023,1989.166667
1989,3,0.038,-0.006,0.012,-0.023,1989.25
1989,4,-0.013,-0.006,0.012,-0.023,1989.333333
1989,5,-0.036,-0.006,0.012,-0.023,1989.416667
1989,6,-0.027,-0.006,0.012,-0.023,1989.5
1989,7,-0.065,-0.006,0.011,-0.023,1989.583333
1989,8,-0.085,-0.006,0.011,-0.023,1989.666667
1989,9,0.002,-0.006,0.011,-0.023,1989.75
1989,10,-0.008,-0.006,0.011,-0.023,1989.833333
1989,11,-0.116,-0.006,0.011,-0.023,1989.916667
1989,12,-0.164,-0.006,0.011,-0.023,1990
1990,1,-0.151,-0.006,0.011,-0.023,1990.083333
1990,2,-0.102,-0.006,0.011,-0.023,1990.166667
1990,3,-0.166,-0.006,0.011,-0.022,1990.25
1990,4,-0.062,-0.006,0.011,-0.022,1990.333333
1990,5,-0.058,-0.006,0.011,-0.022,1990.416667
1990,6,-0.006,-0.006,0.011,-0.022,1990.5
1990,7,0.008,-0.006,0.011,-0.022,1990.583333
1990,8,0.007,-0.006,0.011,-0.022,1990.666667
1990,9,0.026,-0.006,0.01,-0.022,1990.75
1990,10,-0.069,-0.006,0.01,-0.022,1990.833333
1990,11,-0.074,-0.006,0.01,-0.022,1990.916667
1990,12,-0.137,-0.006,0.01,-0.022,1991
1991,1,-0.133,-0.006,0.01,-0.022,1991.083333
1991,2,0.026,-0.006,0.01,-0.022,1991.166667
1991,3,0.026,-0.006,0.01,-0.022,1991.25
1991,4,-0.074,-0.006,0.01,-0.022,1991.333333
1991,5,-0.064,-0.006,0.01,-0.022,1991.416667
1991,6,-0.052,-0.006,0.01,-0.022,1991.5
1991,7,-0.02,-0.006,0.01,-0.022,1991.583333
1991,8,0.031,-0.006,0.01,-0.022,1991.666667
1991,9,-0.004,-0.006,0.01,-0.022,1991.75
1991,10,-0.008,-0.006,0.01,-0.022,1991.833333
1991,11,-0.074,-0.006,0.01,-0.022,1991.916667
1991,12,-0.061,-0.006,0.01,-0.022,1992
1992,1,0.035,-0.006,0.009,-0.022,1992.083333
1992,2,0.203,-0.006,0.009,-0.022,1992.166667
