T,RESIDUALS,SIG_RESID
2006.87200,-1.89690,2.81950
2006.87474,-2.01025,2.86491
2006.87748,-2.25665,2.78605
2006.88021,-1.19109,2.79083
2006.88295,-2.55957,2.83623
2006.88569,-0.21907,2.81951
2006.88843,-2.22460,2.83146
2006.89117,-0.83714,2.82668
2006.89390,-1.59969,2.88881
2006.89664,-2.16023,2.86491
2006.89938,-2.42076,2.81473
2006.90212,-0.42527,2.86013
2006.90485,-2.02676,2.85774
2006.90759,-4.29322,2.81473
2006.91033,-0.31464,2.82190
2006.91307,0.25400,2.81951
2006.91581,0.51768,2.81951
2006.91854,-1.07957,2.82190
2006.92128,-0.47975,2.82907
2006.92402,0.28315,2.84102
2006.92676,-0.73286,2.85297
2006.92950,-1.08779,2.86731
2006.93223,-0.93561,2.85775
2006.93497,-1.15932,3.03696
2006.93771,-0.12392,2.90315
2006.94045,-0.29040,2.97723
2006.94318,-2.36775,2.88165
2006.94592,0.12204,2.91032
2006.94866,-0.67602,2.86970
2006.95140,-0.83694,2.87687
2006.95414,-2.71869,2.96767
2006.95687,-1.22728,2.89599
2006.95961,-1.33570,2.88882
2006.96235,-0.95494,2.87926
2006.96509,-1.75299,2.97723
2006.96783,-0.72385,2.92466
2006.97056,-2.23250,2.90077
2006.97330,-2.20795,2.92227
2006.97604,-0.92119,2.96529
2006.97878,-1.47921,2.92466
2006.98151,-0.61500,2.94378
2006.98425,-1.97955,3.02025
2006.98699,-2.24487,3.02980
2006.98973,-1.85894,2.97246
2006.99247,-2.46376,3.00830
2006.99520,-1.42331,2.98202
2006.99794,-1.22161,2.94139
2007.00342,-0.95838,2.97246
2007.00616,-1.32884,2.93423
2007.00889,-2.73802,2.93662
2007.01163,-2.19090,2.94379
2007.01437,-1.45148,2.91272
2007.01711,-0.09875,2.88644
2007.01984,-1.13272,2.91989
2007.02258,-0.51837,2.83148
2007.02532,-2.49469,2.90078
2007.02806,-1.52169,2.87210
2007.03080,-0.94036,2.80520
2007.03353,-0.38769,2.77891
2007.03627,-0.42968,2.78130
2007.03901,-0.96133,2.77413
2007.04175,-2.26662,2.84582
2007.04449,-0.70655,2.77174
2007.04722,0.59087,2.84343
2007.04996,-0.49634,2.83865
2007.05270,-1.07219,2.80520
2007.05544,-0.18766,2.78369
2007.05817,-0.31875,2.77653
2007.06091,-0.19846,2.76936
2007.06365,-1.42379,2.77892
2007.06639,-1.52573,2.87689
2007.06913,-2.16327,2.78370
2007.07186,-1.34743,2.76219
2007.07460,-0.52718,2.75741
2007.07734,-0.09153,2.76458
2007.08008,-1.13847,2.76697
2007.08282,-2.10101,2.75741
2007.08555,-0.08914,2.80282
2007.08829,-0.75785,2.79565
2007.09103,-0.76615,2.81238
2007.09377,-0.20802,2.77175
2007.09650,0.69052,2.77175
2007.09924,-0.69851,2.80043
2007.10198,-0.41112,2.81477
2007.10472,-0.29430,2.87929
2007.10746,0.50095,2.88407
2007.11019,0.31263,2.83867
2007.11293,-0.38325,2.81955
2007.11567,-0.39270,2.78371
2007.11841,0.22328,2.77176
2007.12115,1.37170,2.80044
2007.12388,0.93456,2.78610
2007.12662,0.35286,2.78132
2007.12936,-0.38340,2.88885
2007.13210,-0.80022,2.79805
2007.13483,-1.52660,2.79805
2007.13757,-1.10353,2.78371
2007.14031,0.07197,2.78371
2007.14305,-0.48308,2.78610
2007.14579,0.29531,2.81478
2007.14852,-1.15886,2.78610
2007.15126,-0.38259,2.80283
2007.15400,-0.79387,2.78371
2007.15674,0.93828,2.78133
2007.15948,0.12888,2.76938
2007.16221,-1.06008,2.87691
2007.16495,0.18540,2.87930
2007.16769,0.77231,2.83390
2007.17043,-0.87934,2.84346
2007.17316,-0.43155,2.84346
2007.17590,-0.91533,2.83868
2007.17864,-2.47467,2.87930
2007.18138,-1.07859,2.83868
2007.18412,-1.13407,2.86974
2007.18685,-1.10013,2.91037
2007.18959,-0.82976,2.85063
2007.19233,-1.27697,2.85063
2007.19507,-2.31775,2.77655
2007.19780,-0.74712,2.77655
2007.20054,0.47793,2.82913
2007.20328,-0.76161,2.84346
2007.20602,-2.01974,2.77656
2007.20876,-0.73645,2.83868
2007.21149,-0.18177,2.76939
2007.21423,-1.56768,2.86019
2007.21697,-0.77419,2.83630
2007.21971,0.26169,2.79806
2007.22245,-1.78203,2.78851
2007.22518,-1.88737,2.81240
2007.22792,-0.32732,2.78134
2007.23066,-1.62689,2.81479
2007.23340,-0.88408,2.83630
2007.23613,0.52810,2.82196
2007.23887,0.55865,2.78373
2007.24161,-0.89944,2.78851
2007.24435,0.29983,2.80046
2007.24709,-0.91654,2.79568
2007.24982,-1.92856,2.78134
2007.25256,-1.29024,2.78134
2007.25530,-0.35457,2.79090
2007.25804,-0.46456,2.84825
2007.26078,-0.22223,2.83392
2007.26351,-0.85956,2.83153
2007.26625,-1.12658,2.76223
2007.26899,-1.13728,2.78613
2007.27173,-0.87967,2.83153
2007.27446,-0.07275,2.80285
2007.27720,-0.16553,2.76940
2007.27994,-0.44602,2.76701
2007.28268,-2.87822,2.82197
2007.28542,-1.40214,2.76940
2007.28815,0.13922,2.78135
2007.29089,-1.71915,2.77657
2007.29363,-0.26325,2.76462
2007.29637,-1.63810,2.74790
2007.29911,-1.75469,2.75268
2007.30184,-0.78604,2.75746
2007.30458,-2.43815,2.78135
2007.30732,-1.41102,2.80525
2007.31006,0.19333,2.80525
2007.31279,0.15790,2.80286
2007.31553,0.50169,2.74312
2007.31827,-0.92632,2.77419
2007.32101,-0.02312,2.75985
2007.32375,-1.92073,2.75985
2007.32648,-0.77516,2.76941
2007.32922,-1.32641,2.74551
2007.33196,-2.07648,2.79570
2007.33470,-0.87839,2.78375
2007.33744,-0.62314,2.74552
2007.34017,-1.54374,2.75030
2007.34291,-2.58219,2.74552
2007.34565,-0.17651,2.74313
2007.34839,-1.86969,2.73835
2007.35112,-1.62376,2.75269
2007.35386,-1.40271,2.90562
2007.35660,-1.82455,2.90084
2007.35934,-1.90129,2.73835
2007.36208,0.58106,2.74074
2007.36481,-0.48950,2.81004
2007.36755,-1.54599,2.75747
2007.37029,-0.89740,2.77181
2007.37303,-1.06875,2.82677
2007.37577,-0.83605,2.82199
2007.37850,-1.12229,2.76464
2007.38124,-0.67850,2.77659
2007.38398,-2.66768,2.77181
2007.38672,-1.52883,2.76942
2007.38945,-1.65896,2.76225
2007.39219,-2.78608,2.84111
2007.39493,-0.63820,2.75031
2007.39767,-1.29632,2.75987
2007.40041,-2.37846,2.83394
2007.40314,-0.30662,2.75270
2007.40588,-1.70480,2.72880
2007.40862,-1.64403,2.75509
2007.41136,-1.02529,2.74075
2007.41410,-1.49761,2.74553
2007.41683,-2.10698,2.73836
2007.41957,-0.40142,2.72403
2007.42231,-0.17593,2.81005
2007.42505,-1.45153,2.77182
2007.42778,-1.14821,2.74553
2007.43052,-2.15799,2.76465
2007.43326,-2.53787,2.74076
2007.43600,-2.36786,2.77899
2007.43874,-2.07697,2.78855
2007.44147,-0.57921,2.81483
2007.44421,-2.57657,2.86740
2007.44695,-1.68608,2.76704
2007.44969,-2.22873,2.74315
2007.45243,-2.10154,2.75988
2007.45516,-2.10751,2.74076
2007.45790,-0.69565,2.74076
2007.46064,-0.35696,2.74793
2007.46338,0.42354,2.74315
2007.46611,-0.51514,2.72642
2007.46885,-0.76702,2.73120
2007.47159,-1.34011,2.74076
2007.47433,-0.12240,2.74554
2007.47707,-0.15591,2.80289
2007.47980,-0.57764,2.73837
2007.48254,-0.13360,2.73360
2007.48528,-0.14280,2.74554
2007.48802,-0.75224,2.76944
2007.49076,-0.35593,2.76705
2007.49349,-0.40087,2.74077
2007.49623,-0.26007,2.75271
2007.49897,0.15446,2.74555
2007.50171,1.18371,2.74794
2007.50444,1.24169,2.75749
2007.50718,0.63838,2.77661
2007.50992,1.80278,2.74555
2007.51266,-0.22811,2.76944
2007.51540,0.81869,2.74077
2007.51813,0.07519,2.75033
2007.52087,0.42037,2.76945
2007.52361,1.27423,2.77661
2007.52635,0.14477,2.75033
2007.52908,-0.63201,2.75033
2007.53182,-0.77013,2.79573
